regulator	replicate	fastq_1	fastq_2
GCN4xSM	B	fastq/SRX20967118_SRR25220378_1.fastq.gz	fastq/SRX20967118_SRR25220378_2.fastq.gz
GCN4xSM	C	fastq/SRX20967119_SRR25220377_1.fastq.gz	fastq/SRX20967119_SRR25220377_2.fastq.gz
GCN4xWT	A	fastq/SRX20967120_SRR25220376_1.fastq.gz	fastq/SRX20967120_SRR25220376_2.fastq.gz
GCN4xWT	B	fastq/SRX20967121_SRR25220375_1.fastq.gz	fastq/SRX20967121_SRR25220375_2.fastq.gz
GCN4xWT	C	fastq/SRX20967122_SRR25220374_1.fastq.gz	fastq/SRX20967122_SRR25220374_2.fastq.gz
GCN4xWT_SM	A	fastq/SRX20967123_SRR25220373_1.fastq.gz	fastq/SRX20967123_SRR25220373_2.fastq.gz
GCN4xWT_SM	B	fastq/SRX20967124_SRR25220372_1.fastq.gz	fastq/SRX20967124_SRR25220372_2.fastq.gz
GCN4xWT_SM	C	fastq/SRX20967125_SRR25220371_1.fastq.gz	fastq/SRX20967125_SRR25220371_2.fastq.gz
GCN4xadmut	A	fastq/SRX20967489_SRR25220623_1.fastq.gz	fastq/SRX20967489_SRR25220623_2.fastq.gz
GCN4xadmut	B	fastq/SRX20967490_SRR25220622_1.fastq.gz	fastq/SRX20967490_SRR25220622_2.fastq.gz
GCN4xadmut	C	fastq/SRX20967491_SRR25220621_1.fastq.gz	fastq/SRX20967491_SRR25220621_2.fastq.gz
GCN4xadmut_SM	A	fastq/SRX20967492_SRR25220620_1.fastq.gz	fastq/SRX20967492_SRR25220620_2.fastq.gz
GCN4xadmut_SM	B	fastq/SRX20967109_SRR25220387_1.fastq.gz	fastq/SRX20967109_SRR25220387_2.fastq.gz
GCN4xadmut_SM	C	fastq/SRX20967110_SRR25220386_1.fastq.gz	fastq/SRX20967110_SRR25220386_2.fastq.gz
GCN4xcAD	A	fastq/SRX24857907_SRR29342144_1.fastq.gz	fastq/SRX24857907_SRR29342144_2.fastq.gz
GCN4xcAD	B	fastq/SRX24857908_SRR29342143_1.fastq.gz	fastq/SRX24857908_SRR29342143_2.fastq.gz
